Customer_ID,Age,Gender,Country,Membership_Tier,Annual_Income_USD,Product_Category,Purchase_Amount_USD,Payment_Method,Orders_Per_Month,Discount_Applied_Percent,Delivery_Time_Days,Review_Rating,Satisfaction_Score,Returned_Item,App_Usage_Mins_Per_Week,Preferred_Shopping_Hour,Signup_Date,Days_Since_Last_Purchase,Churned
CUST-10001,43,Female,Australia,Bronze,24883.0,Sports & Outdoors,29.51,PayPal,3,10,4,2.5,5,No,208,17,2024-12-05,48,No
CUST-10002,36,Male,Germany,Bronze,47733.0,Beauty & Personal Care,159.05,PayPal,5,5,3,3.5,7,No,159,9,2024-11-06,4,No
CUST-10003,45,Non-Binary,United Kingdom,Bronze,24149.0,Apparel,12.72,Credit Card,7,30,8,4.0,8,No,130,10,2022-09-30,12,No
CUST-10004,56,Male,Germany,Gold,83608.0,Beauty & Personal Care,24.7,PayPal,3,10,3,4.5,9,No,215,13,2022-04-13,5,No
CUST-10005,35,Male,United States,Platinum,143407.0,Electronics,210.03,Credit Card,3,0,1,4.5,9,No,136,13,2024-05-30,92,Yes
CUST-10006,35,Male,United States,Bronze,47350.0,Electronics,8.5,Credit Card,1,0,4,3.5,7,No,81,19,2022-10-19,66,No
CUST-10007,56,Female,Brazil,Bronze,20593.0,Apparel,99.7,Debit Card,6,10,11,3.0,6,No,112,11,2022-05-22,28,No
CUST-10008,47,Female,United States,Gold,113971.0,Beauty & Personal Care,8.5,Apple Pay,8,10,5,3.5,8,No,145,8,2022-07-21,91,No
CUST-10009,32,Male,United Kingdom,Platinum,150296.0,Electronics,1367.23,PayPal,5,0,5,3.0,7,Yes,142,9,2025-03-31,146,No
CUST-10010,44,Female,Brazil,Silver,49314.0,Electronics,619.08,PayPal,5,20,5,3.5,7,No,263,9,2024-07-13,12,No
CUST-10011,32,Male,Japan,Bronze,18000.0,Electronics,128.83,Credit Card,3,15,8,3.0,5,Yes,270,18,2023-04-15,369,Yes
CUST-10012,32,Male,United States,Bronze,39391.0,Sports & Outdoors,76.58,Apple Pay,3,15,8,2.0,5,No,116,13,2024-10-16,208,No
CUST-10013,40,Female,United States,Silver,53973.0,Home & Kitchen,176.32,Apple Pay,5,0,4,4.0,8,Yes,152,18,2023-09-16,89,No
CUST-10014,18,Female,United States,Bronze,44036.0,Apparel,39.05,Apple Pay,4,5,9,3.5,7,No,129,12,2022-12-21,77,No
CUST-10015,18,Male,Germany,Bronze,35463.0,Home & Kitchen,140.4,Apple Pay,3,25,1,4.0,8,Yes,209,20,2025-03-29,4,No
CUST-10016,31,Female,United Kingdom,Silver,25865.0,Home & Kitchen,8.5,Credit Card,9,20,5,3.5,7,No,217,23,2025-03-27,4,No
CUST-10017,25,Male,United States,Bronze,35009.0,Home & Kitchen,8.5,Credit Card,4,0,5,3.5,6,No,21,17,2022-08-27,15,No
CUST-10018,41,Female,India,Gold,89498.0,Electronics,228.91,PayPal,6,0,5,3.0,6,Yes,195,20,2023-07-31,15,No
CUST-10019,27,Male,Canada,Bronze,53405.0,Sports & Outdoors,90.68,Credit Card,7,5,8,3.0,6,No,61,14,2022-05-10,60,No
CUST-10020,21,Female,United States,Bronze,29432.0,Apparel,142.67,Apple Pay,7,5,9,4.0,6,No,249,21,2022-04-06,21,No
CUST-10021,55,Male,Canada,Silver,92216.0,Home & Kitchen,24.02,Credit Card,5,15,3,3.5,7,No,194,19,2024-11-28,4,No
CUST-10022,35,Female,Germany,Bronze,18000.0,Electronics,290.58,Credit Card,7,30,9,2.5,5,No,75,23,2022-08-28,114,No
CUST-10023,38,Male,United States,Platinum,163601.0,Apparel,36.25,Credit Card,5,5,11,3.5,6,No,186,16,2023-05-14,44,No
CUST-10024,20,Female,United States,Silver,57962.0,Apparel,45.85,Crypto,2,0,8,2.5,5,No,130,19,2023-07-06,6,No
CUST-10025,31,Male,Australia,Bronze,57472.0,Home & Kitchen,65.3,Credit Card,5,20,3,3.5,6,No,182,15,2022-06-11,8,No
CUST-10026,39,Male,United Kingdom,Gold,96436.0,Electronics,198.74,PayPal,7,0,2,3.0,7,No,235,10,2024-11-29,57,No
CUST-10027,24,Female,Canada,Bronze,62511.0,Beauty & Personal Care,8.5,PayPal,5,30,4,4.0,7,No,76,11,2023-05-26,31,No
CUST-10028,42,Female,United Kingdom,Platinum,133027.0,Electronics,319.84,Credit Card,6,15,2,5.0,10,No,306,20,2024-02-28,48,No
CUST-10029,30,Female,United States,Bronze,22224.0,Home & Kitchen,172.56,PayPal,4,25,4,5.0,9,No,235,5,2022-11-03,61,No
CUST-10030,34,Male,United States,Silver,87569.0,Beauty & Personal Care,34.69,Apple Pay,6,0,5,4.5,8,Yes,106,16,2023-03-21,25,No
CUST-10031,30,Male,United Kingdom,Bronze,39957.0,Home & Kitchen,96.48,PayPal,11,0,2,4.0,9,No,144,11,2024-10-11,8,No
CUST-10032,60,Male,United States,Silver,65988.0,Beauty & Personal Care,97.65,Debit Card,3,10,8,4.0,7,No,264,12,2024-01-01,6,No
CUST-10033,37,Female,United States,Gold,117225.0,Home & Kitchen,299.96,Credit Card,6,10,1,3.5,8,No,258,20,2022-02-12,1,No
CUST-10034,25,Female,Australia,Gold,76424.0,Apparel,70.85,Credit Card,7,5,3,3.0,7,Yes,136,20,2023-02-20,6,No
CUST-10035,47,Male,India,Bronze,52718.0,Beauty & Personal Care,13.77,Buy Now Pay Later,3,30,7,2.5,5,Yes,199,16,2024-01-17,179,No
CUST-10036,23,Male,Japan,Bronze,,Apparel,145.6,Credit Card,5,20,10,2.5,5,No,330,10,2024-12-28,61,No
